Fecha,Hora,Host,Bajada,Subida
14-02-2022,12:24:38,lanproject.cl:8080,29.15,27.68
14-02-2022,12:25:38,lanproject.cl:8080,32.73,20.44
14-02-2022,12:26:38,lanproject.cl:8080,35.1,25.49
14-02-2022,12:27:38,lanproject.cl:8080,34.08,20.19
14-02-2022,12:28:38,lanproject.cl:8080,33.73,21.13
14-02-2022,12:29:38,lanproject.cl:8080,32.04,18.55
14-02-2022,12:30:38,lanproject.cl:8080,24.8,26.06
14-02-2022,12:31:38,lanproject.cl:8080,29.48,20.04
14-02-2022,12:32:38,lanproject.cl:8080,10.05,20.24
14-02-2022,12:33:38,lanproject.cl:8080,34.06,23.13
14-02-2022,12:34:38,lanproject.cl:8080,32.06,24.29
14-02-2022,12:35:38,lanproject.cl:8080,35.07,20.31
14-02-2022,12:36:38,lanproject.cl:8080,34.18,26.8
14-02-2022,12:37:38,lanproject.cl:8080,34.08,29.53
14-02-2022,12:38:38,lanproject.cl:8080,35.07,21.8
14-02-2022,12:39:38,lanproject.cl:8080,26.58,21.08
14-02-2022,12:40:38,lanproject.cl:8080,35.2,29.97
14-02-2022,12:41:38,lanproject.cl:8080,36.32,32.88
14-02-2022,12:42:38,lanproject.cl:8080,36.29,30.05
14-02-2022,12:43:38,lanproject.cl:8080,35.66,24.8
14-02-2022,12:44:38,lanproject.cl:8080,36.13,21.03
14-02-2022,12:45:38,lanproject.cl:8080,36.82,22.89
14-02-2022,12:46:38,lanproject.cl:8080,36.99,21.67
14-02-2022,12:47:38,lanproject.cl:8080,31.23,23.81
14-02-2022,12:48:38,lanproject.cl:8080,30.89,23.98
14-02-2022,12:49:38,lanproject.cl:8080,37.63,22.38
14-02-2022,12:50:38,lanproject.cl:8080,26.68,26.57
14-02-2022,12:51:38,lanproject.cl:8080,33.45,21.54
14-02-2022,12:52:38,lanproject.cl:8080,33.64,29.11
14-02-2022,12:53:38,lanproject.cl:8080,33.65,19.11
14-02-2022,12:54:38,lanproject.cl:8080,34.05,19.05
14-02-2022,12:55:38,lanproject.cl:8080,30.94,19.61
14-02-2022,12:56:38,lanproject.cl:8080,34.71,18.87
14-02-2022,12:57:38,lanproject.cl:8080,35.84,19.45
14-02-2022,12:58:38,lanproject.cl:8080,35.16,20.97
14-02-2022,12:59:38,lanproject.cl:8080,33.71,23.42
14-02-2022,13:00:38,lanproject.cl:8080,34.3,27.82
14-02-2022,13:01:38,lanproject.cl:8080,32.61,23.15
14-02-2022,13:02:38,lanproject.cl:8080,34.37,24.77
14-02-2022,13:03:38,lanproject.cl:8080,30.55,25.54
14-02-2022,13:04:38,lanproject.cl:8080,34.93,29.96
14-02-2022,13:05:38,lanproject.cl:8080,36.89,27.32
14-02-2022,13:06:38,lanproject.cl:8080,24.76,20.48
14-02-2022,13:07:38,lanproject.cl:8080,36.8,24.66
14-02-2022,13:08:38,lanproject.cl:8080,34.22,25.66
14-02-2022,13:09:38,lanproject.cl:8080,38.95,23.49
14-02-2022,13:10:38,lanproject.cl:8080,37.49,20.79
14-02-2022,13:11:38,lanproject.cl:8080,26.31,23.03
14-02-2022,13:12:38,lanproject.cl:8080,30.37,21.63
14-02-2022,13:13:38,lanproject.cl:8080,35.55,20.12
14-02-2022,13:14:38,lanproject.cl:8080,21.31,16.65
14-02-2022,13:15:38,lanproject.cl:8080,36.79,31.03
14-02-2022,13:16:38,lanproject.cl:8080,38.79,25.97
14-02-2022,13:17:38,lanproject.cl:8080,33.31,21.21
14-02-2022,13:18:38,lanproject.cl:8080,37.64,22.91
14-02-2022,13:19:39,lanproject.cl:8080,38.11,26.83
14-02-2022,13:20:38,lanproject.cl:8080,38.47,26.97
14-02-2022,13:21:38,lanproject.cl:8080,38.07,23.09
14-02-2022,13:22:38,lanproject.cl:8080,37.79,25.56
14-02-2022,13:23:38,lanproject.cl:8080,37.37,27.71
14-02-2022,15:41:06,speedtest-chile.transtelco.net:8080,37.03,22.61
14-02-2022,15:42:04,speedtest-chile.transtelco.net:8080,32.14,20.6
